,Title,Instructor,Description,Rating,User_vote,Total_hours,Lecture,Level
267,Advanced AI Deep Reinforcement Learning Python,Lazy Programmer Team  Lazy Programmer Inc ,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks,4.7,3674,10.5,79,Expert
268,Cucumber Java Build Automation Framework lesser code,Rahul Shetty,Step by Step Cucumber BDD Approach to design the powerful Testing framework Selenium Appium API  with very MINIMALCODE,4.5,3677,10.5,62,All Levels
269,Python Practical Guide,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,Learn Python from the ground up and use Python to build a hands on project from scratch ,4.6,3670,17.5,230,All Levels
270,CHash Basics Learn Code Right Way,Grant Klimaytys,Learn CHash Using this Course  Then Move on to Make Windows  Server and  Net Applications ,4.1,3648,1.5,14,Beginner
271,End Web Development Master Course 2021,Learn Tech Plus,Learn Front End Web Development  Quickly Master HTML5  CSS3  JavaScript  Bootstrap  SVG  Text Editors  and much more ,4.2,3625,62.5,791,All Levels
272,Complete 2020 PHP Stack Web Developer Bootcamp,Srinivas Vanamala,Learn to build websites with HTML   CSS   JAVASCRIPT   Bootstrap   PHP   MySQL   WordPress   OOP and more ,4.6,3611,49.0,309,Beginner
273,Deep Learning Advanced Computer Vision GANs SSD PlusMore,Lazy Programmer Inc ,VGG  ResNet  Inception  SSD  RetinaNet  Neural Style Transfer  GANs PlusMore in Tensorflow  Keras  and Python,4.6,3565,15.0,119,Intermediate
274,Discovering Godot Video Games Python like GDScript,Ben Tristem  Yann Burrett,Game development with Godot Engine 3 1    Learn to code in Python like GDScript,4.6,3560,20.5,113,Beginner
275,C Programming Beginners,Huw Collingbourne,Learn C in ten easy steps on Windows  Mac OS X or Linux,4.3,3549,8.0,76,All Levels
276,Object Oriented PHP MVC,Brad Traversy,Build a custom object oriented PHP MVC framework and then build an application with it,4.6,3542,6.5,44,Intermediate
277,Responsive Web Design HTML5 Plus CSS3 Entrepreneurs 2018,Andrew Eddy,Build a coding foundation as an entrepreneur  where I ll take you through the entire process of coding your own website,4.5,3536,5.5,58,Beginner
278,Spring Boot Microservices Spring Cloud,Sergey Kargopolov,Learn to build RESTful Microservices with Spring Boot and Spring Cloud,4.5,3535,18.5,244,All Levels
279,Testing Angular 4 previously Angular 2 Apps Jasmine,Mosh Hamedani,Learn to write unit and integration tests for your Angular apps and deploy them with confidence,4.3,3510,2.0,29,Intermediate
280,React NodeJS Express MongoDB MERN Fullstack Guide,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller  Manuel Lorenz,Build fullstack React js applications with Node js  Express js and MongoDB  MERN  with this project focused course ,4.7,3495,19.0,206,All Levels
281,Angular Essentials Angular 2Plus TypeScript,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,The most efficient way to dive into Angular 2Plus if you got limited time or need to refresh the basics ,4.5,3456,6.5,119,All Levels
282,Build Backend REST API Python Django Advanced,Mark Winterbottom  Brooke Rutherford,Create an advanced REST API with Python  Django REST Framework and Docker using Test Driven Development  TDD ,4.5,3458,8.0,77,Intermediate
283,Learn Understand CPlusPlus,Ermin Kreponic,Take this course to learn CPlusPlus which you can use for ethical hacking  game development  and most software you use daily ,4.3,3432,14.0,76,Beginner
284,Oracle Java Certification Pass Associate 1Z0 808 Exam,Tim Buchalka s Learn Programming Academy  Goran Lochert,This course will help you learn the steps to becoming an Oracle Certified Associate  OCA  and get a higher paying job ,4.3,3433,20.0,134,All Levels
285,Learn Code Python 3,Joseph Delgadillo,Go from beginner to advanced with the Python programming language ,4.1,3404,17.5,78,All Levels
286,Wordpress Website Elementor Page Builder,Darrel Wilson,Learn How To Create an AMAZING Wordpress Website  Master Wordpress and Elementor Page Builder ,4.3,3376,1.5,13,Beginner
287,Microsoft SQL Server 2012 Certification Training Exam 70 461,Infinite Skills,To Study And Pass The Microsoft 70 461 Exam and Gain Certification For MCSA or MCSE,4.5,3366,12.5,148,All Levels
288,Learn Ruby Rails Scratch,Eduonix Learning Solutions  Eduonix Tech  ,A complete guide to master Ruby and Rails framework,3.9,3356,9.5,39,All Levels
289,Deep Learning Convolutional Neural Networks Python,Lazy Programmer Inc ,Use CNNs for Image Recognition  Natural Language Processing  NLP  PlusMore  For Data Science  Machine Learning  and AI,4.6,3350,11.5,72,All Levels
290,DevOps MasterClass GIT Docker Jenkins Kubernetes Terraform,LevelUp360  DevOps,DevOps for Absolute Beginners with Jenkins Docker Swarm Kubernetes GIT Terraform AWS with DevOps Realworld Exercises,4.3,3351,57.0,355,All Levels
291,Build Responsive Website HTML5 CSS3 JS Bootstrap,Irfan Dayan,Learn HTML5  CSS3  JavaScript  jQuery and Bootstrap framework by building a modern looking responsive website ,4.2,3325,8.0,75,All Levels
292,Master Computer Vision OpenCV4 Python Deep Learning,Rajeev D  Ratan,Master OpenCV4 like a pro while learning Dlib  Deep Learning Computer Vision  Keras  TensorFlow and Caffe  Plus 21 Projects ,4.3,3318,11.0,116,All Levels
293,11 Essential Coding Interview Questions Plus Coding Exercises,YK Sugi,Learn 3 handy problem solving techniques  Get 11 hand picked problems  Get ready for your next coding interview ,4.6,3311,2.0,35,Intermediate
294,Outstanding Solution Architect,Mark Farragher,Learn all the soft and hard skills you need to take your architect design skills to the next level,4.3,3307,8.0,67,All Levels
295,Build Backend REST API Python Django Beginner,Mark Winterbottom  Brooke Rutherford,Finally create that App Plus fully functioning user database in this crash course to building a REST API,4.5,3242,5.0,76,Beginner
296,Ultimate Guide 2D Mobile Game Development Unity,Jonathan Weinberger  Unity Technologies,Created in partnership with Unity Technologies  Master CHash  Unity Ads  2D mobile game development  and publishing,4.3,3230,13.0,169,Intermediate
297,CHash Developers Learn Art Writing Clean Code,Mosh Hamedani,Learn the techniques to write better CHash code and stand out in technical interviews,4.5,3220,3.5,20,All Levels
298,Learn Create RPG Game Unity,James Doyle,Game development made easy  Learn CHash using Unity and create your very own classic RPG ,4.6,3215,18.0,117,All Levels
299,Complete Xamarin Developer Course iOS Android,Tim Buchalka s Learn Programming Academy  Eduardo Rosas,Build Cross Platform Android and iOS apps with Xamarin Forms  Xamarin Classic  Azure Mobile App Services  Rest and more,4.3,3215,29.5,206,Beginner
300,AngularJS JumpStart Dan Wahlin,Dan Wahlin,Building Web applications  Learn to build robust Single Page Applications  SPAs  with the popular AngularJS framework ,4.5,3203,10.0,113,All Levels
301,Z Machine Learning Azure Machine Learning AzureML,Jitesh Khurkhuriya  Python  Data Science   Machine Learning A Z Team,Azure ML  Machine Learning   Azure Machine Learning Studio  Machine Learning on cloud  Machine Learning without coding,4.4,3205,11.0,91,All Levels
302,Design Patterns Modern CPlusPlus,Dmitri Nesteruk,Discover the modern implementation of design patterns with  PlusPlus,4.4,3201,12.5,130,Intermediate
303,MySQL Data Analysis SQL Database Beginners,Maven Analytics  John Pauler,Learn SQL for Business Intelligence and Big Data Analytics w  MySQL Workbench  apply to SQL Server  Oracle  PL SQL ,4.7,3202,4.5,103,All Levels
304,Learn JavaScript Stack Scratch,Brad Schiff,Understand the JavaScript language itself  Node js  MongoDB  The Web Browser and More To Create Meaningful Applications,4.8,3181,27.5,123,All Levels
305,Vim Masterclass,Jason Cannon,Mastering the vi and Vim Editors on the Linux  Unix  Mac  and Windows Operating Systems,4.7,3163,7.0,49,All Levels
306,Blockchain Developer Ethereum Solidity,Sebastien Arbogast  Said Eloudrhiri,Develop your first decentralized application from scratch on the Ethereum blockchain,4.5,3161,18.0,95,All Levels
307,Python Coding EASY Python Coding Course Python 3,Cher Hin Chong,Python coding for beginners  Python coding for Data Science  AI Python  Web Python  Business Python  Engineering Python ,4.8,3156,2.0,20,Beginner
308,Blender Character Creator v2 0 Video Games Design,GameDev tv Team  Rick Davidson  Grant Abbitt,Model Video Game Characters  Use The Sculpt Tool To Shape  Add Texture  Rig and Animate Video Game Characters,4.7,3167,17.0,116,Beginner
309,Database Design,Caleb Curry,Learn relational database Design with practical concepts and examples   This series works with any database system ,3.9,3145,8.5,52,All Levels
310,PHP OOP Object Oriented Programming beginners Plus Project,Edwin Diaz  Coding Faculty Solutions,PHP OOP  Learn OOP PHP and Take your skills to another level  Make serious money by building awesome applications  ,4.5,3136,18.5,224,All Levels
311,Web Developer Scratch,Victor Bastos,This course covers all you need to know about becoming a top skilled web developer even if you never programmed before ,4.5,3128,26.5,191,All Levels
312,Deep Learning Prerequisites Logistic Regression Python,Lazy Programmer Inc ,Data science  machine learning  and artificial intelligence in Python for students and professionals,4.8,3128,6.5,59,All Levels
313,Complete ServiceNow Developer Course,Mark Miller,Learn how to develop on the ServiceNow platform ,4.5,3125,8.5,57,Intermediate
314,Complete Stack JavaScript Course,Joseph Delgadillo  Nick Germaine,Learn full stack web development using JavaScript  ReactJS  NodeJS  LoopbackJS  Redux and Material UI  ,4.3,3140,24.5,96,All Levels
315,Ethereum Blockchain Developer Bootcamp Solidity 2021,Ravinder Deol  Thomas Wiesner  Buidl School  Martin S,Become An Ethereum Blockchain Developer With Just One Course  Solidity  Web3 JS  Truffle  Metamask  Remix and More ,4.4,3136,13.0,141,All Levels
316,Database Design Introduction,Intellezy Trainers,Prevent typical developer mistakes by learning how to properly create and normalize a relational database,4.5,3116,1.5,20,Beginner
317,Stack Angular Java Spring Boot,Chad Darby  Harinath Kuntamukkala,Build a Full Stack application with Angular and Java Spring Boot,4.7,3127,19.5,249,Intermediate
318,Cypress Modern Automation Testing Scratch Plus Framework,Rahul Shetty,Learn Cypress for front end Web testing PlusIntegration and API testing XHR   API  with real time Frameworks  Mocha Cucumber ,4.5,3102,14.5,84,All Levels
319,Java Complete Beginners,Rupal S,The Course Where Programming and Fun Meet  Learn JAVA from Scratch With PLENTY of Free Resources and Challenges ,4.5,3055,6.5,43,All Levels
320,SQL Server Administration Part1,Raphael Asghar,SQL Education with a purpose,4.5,3055,10.0,59,Beginner
321,JavaScript Beginners Learn JavaScript Scratch,Robin Haney,Learn The JavaScript Programming Language Completely From Scratch Without Frameworks,4.2,3029,3.0,56,Beginner
322,Complete Python Programmer Bootcamp 2021,365 Careers  Giles McMullen Klein,Learn Python  Enjoy Python  Master Python  Become a Python Programmer ,4.7,3028,13.0,173,All Levels
323,Automated Software Testing Python,Jose Salvatierra  Teclado by Jose Salvatierra,Learn about automated software testing with Python  BDD  Selenium WebDriver  and Postman  focusing on web applications,4.5,3021,13.5,141,Intermediate
324,Server Rendering React Redux,Stephen Grider,Build React  Redux  and React Router apps using Server Side Rendering  SSR   Isomorphic  and Universal JS techniques,4.9,3018,8.0,94,Intermediate
325,Complete Machine Learning Course Python,Codestars by Rob Percival  Anthony NG  Rob Percival,Build a Portfolio of 12 Machine Learning Projects with Python  SVM  Regression  Unsupervised Machine Learning and More ,4.2,3013,17.5,111,All Levels
326,Deep Learning Recurrent Neural Networks Python,Lazy Programmer Inc ,GRU  LSTM  Time Series Forecasting  Stock Predictions  Natural Language Processing  NLP  using Artificial Intelligence,4.6,3001,11.5,70,All Levels
327,Deep Learning Advanced NLP RNNs,Lazy Programmer Inc ,Natural Language Processing with Sequence to sequence  seq2seq   Attention  CNNs  RNNs  and Memory Networks ,4.6,2996,8.5,65,All Levels
328,Complete Self Driving Car Course Applied Deep Learning,Rayan Slim  Amer Sharaf  Jad Slim  Sarmad Tanveer,Learn to use Deep Learning  Computer Vision and Machine Learning techniques to Build an Autonomous Car with Python,4.5,2994,18.0,170,All Levels
329,Learn JavaScript Web Development,Irfan Dayan,Advance your Web Development Skills By Learning Javascript from JavaScript Expert ,4.6,2987,8.5,95,Intermediate
330,Learn Code Python,Boris Paskhaver,The complete Python bootcamp for 2021  Learn Python 3 from beginner to expert  Build complete Python applications ,4.7,2951,58.0,408,All Levels
331,MATLAB SIMULINK Bible Zero Hero,Dr  Ryan Ahmed  Ph D   MBA  Mitchell Bouchard  Stemplicity School Online,Build 10 Practical Projects and go from Beginner to Pro in Simulink with this Project Based Simulink Course ,4.4,2951,4.5,41,All Levels
332,Complete Android App Development,Hussein Alrubaye,Learn how to make  online games  and apps like Twitter  Pok mon  Tic Tac Toy  and Find my phone using Android O,4.1,2944,22.0,150,All Levels
333,Web Development Complete Fast Track Course,Ruben Giuliani,Become a full stack web developer in a month  Master HTML  CSS  Javascript  JQuery  PHP  MySQL and more ,4.2,2940,29.5,73,All Levels
334,Node js API Masterclass Express MongoDB,Brad Traversy,Create a real world backend for a bootcamp directory app,4.8,2938,12.0,76,Intermediate
335,Java Absolute Beginners,Nick H,A course on Java for complete beginners to computer programming  for those who want concepts explained in plain English ,4.6,2944,7.5,111,Beginner
336,Master MATLAB Guided Problem Solving,Tim Buchalka s Learn Programming Academy  Mike X Cohen,Become an expert in MATLAB Programming and Scientific Computing  Advance your career in Engineering Physics Biology etc,4.6,2934,38.0,169,All Levels
337,JavaScript ES6 Tutorial including ES7 React,David Joseph Katz,The most in depth course on ES6 around  Start with JavaScript  deep dive into ES6  and even more  Webpack  ES7  and React  ,4.3,2927,5.0,106,All Levels
338,Chef Fundamentals Recipe Automating Infrastructure,Robin Beck,The Chef Certified beginner s guide to developing cookbooks locally and distributing changes with a Chef Server,4.4,2916,10.0,90,All Levels
339,Mastering data visualization D3 js 2020 UPDATE,Adam Janes,Design and build beautiful data visualizations with d3 js  An intensive introduction to the D3 library  V6  ,4.4,2916,6.5,95,Intermediate
340,Computer Science 101 Master Theory Programming,Kurt Anderson,Computer Science 101  Learn Computer Science to become a better Programmer and Software Engineer ,4.5,2909,11.0,94,Beginner
341,Streaming Big Data Spark Streaming Scala Hands,Sundog Education by Frank Kane  Frank Kane,Spark Streaming tutorial covering Spark Structured Streaming  Kafka integration  and streaming big data in real time ,4.5,2882,6.5,38,All Levels
342,Jenkins 2 Bootcamp Fully Automate Builds Deployment 2020,Jason Taylor,An introduction to the Jenkins build server using continuous integration and deployment techniques    all step by step ,4.5,2869,9.0,111,All Levels
343,HTML JavaScript Bootstrap Certification Course,YouAccel Training,A Comprehensive Guide for Beginners interested in learning HTML  JavaScript  and Bootstrap  Build Interactive Web Pages ,4.3,2866,6.5,124,Beginner
344,Unsupervised Machine Learning Hidden Markov Models Python,Lazy Programmer Team  Lazy Programmer Inc ,HMMs for stock price analysis  language modeling  web analytics  biology  and PageRank ,4.6,2836,9.0,63,All Levels
345,Python Machine Learning Financial Analysis,Dr  Ryan Ahmed  Ph D   MBA  SuperDataScience Team  Mitchell Bouchard,Master Python Programming Fundamentals and Harness the Power of ML to Solve Real World Practical Applications in Finance,4.6,2832,23.0,132,All Levels
346,Python eCommerce Build Django eCommerce Web Application,Justin Mitchel,Launch your business by learning to build your own eCommerce app step by step ,4.2,2833,33.0,223,All Levels
347,Complete guide building app Net Core React,Neil Cummings,The complete guide to building an app from start to finish using ASP NET Core  React  with Typescript  and Mobx,4.6,2822,37.5,337,All Levels
348,Practical Web Development 22 Courses 1,Creative Online School,Learn PHP  Apache  MySQL  MongoDB  Python  JavaScript  XML  JSON  HTML  CSS  WordPress and more  With practical examples,4.3,2816,11.5,149,All Levels
349,R Programming Statistics Data Science 2021,365 Careers  365 Simona  The 365 Team ,R Programming for Data Science and Data Analysis  Applying R for Statistics and Data Visualization with GGplot2 in R,4.6,2817,6.5,126,All Levels
350,Object oriented Programming JavaScript,Mosh Hamedani,Learn all about OOP  understand the most confusing parts of JavaScript and prepare for technical interviews,4.7,2803,4.0,64,Intermediate
351,Dissecting Ruby Rails 5 Professional Developer,Jordan Hudgens,Don t simply follow a tutorial  learn what it really takes to become a pro Rails developer with this immersive course ,4.7,2789,43.0,246,All Levels
352,Apache Kafka Series Kafka Connect Hands Learning,Stephane Maarek   AWS Certified Solutions Architect   Developer Associate,Kafka Connect   Learn How to Source Twitter Data  Store in Apache Kafka Topics and Sink in ElasticSearch and PostgreSQL,4.5,2788,4.5,55,Intermediate
353,Complete Apache Groovy Developer Course,Dan Vega,Learn how to program using Apache Groovy ,4.5,2780,13.5,129,All Levels
354,Complete 2020 Data Science Machine Learning Bootcamp,Philipp Muellauer  Dr  Angela Yu,Learn Python  Tensorflow  Deep Learning  Regression  Classification  Neural Networks  Artificial Intelligence and more ,4.6,2781,41.5,207,All Levels
355,Learn Devops Continuously Deliver Better Software,Edward Viaene,Excel in delivering and deploying software using Git  Vagrant  Chef  Ansible  Jenkins  Docker  and Kubernetes,4.1,2768,4.5,74,All Levels
356,Data Structures Algorithms Complete Masterclass,Vinoth Parthasarathy,Crack the code interview by getting mastery in data structures and algorithms and Become a data structures and algorithms Ace,4.7,2770,7.5,87,All Levels
357,ChatBots Messenger ChatBot DialogFlow nodejs,Jana Bergant,Use DialogFlow to train chatbot to have dialogs  Develop backend app to connect chatbot to web services and databases,4.2,2762,9.5,119,All Levels
358,Java Persistence Hibernate JPA Fundamentals,Deshraj Singh Kiran,A simple to follow and easy to understand course on Java Persistence API  JPA  with Hibernate,4.3,2759,8.0,68,All Levels
359,C Programming best approach learn C Language,Insculpt Technologies,Become a master of C Programming Language in an informal and practical way,4.4,2740,5.0,72,All Levels
360,Electron Desktop Apps Complete Developer Guide,Stephen Grider,Use the Electron Framework to build compelling cross platform desktop applications with the latest web dev technologies,4.6,2738,8.0,77,Beginner
361,Introduction Apache NiFi Cloudera DataFlow HDF 2 0,Stephane Maarek   AWS Certified Solutions Architect   Developer Associate,Apache NiFi   An Introductory Course to Learn Installation  Basic Concepts and Efficient Streaming of Big Data Flows,4.4,2727,2.0,23,Beginner
362,RxJs 6 Practice FREE E Book,Angular University,Learn numerous RxJs Operators  learn all RxJs and Reactive Programming core concepts via Practical Examples,4.6,2729,4.5,46,All Levels
363,Software Architecture Enterprise Architect,Binary Brain,Learn software architecture skills required by an enterprise architect including UML modelling and architecture patterns,4.2,2733,1.5,21,All Levels
364,Python Programming Beginners Data Science,Ajay Tech,This Python for beginners course teaches you  just enough  python  training online with Python 3 for Data Science,4.2,2712,14.0,105,Beginner
365,Master Java Unit Testing Spring Boot Mockito,in28Minutes Official,Learn to write awesome Java JUnit unit tests with Spring Boot  Mockito  JsonAssert  Hamcrest and JsonPath in 40 easy steps,4.5,2712,4.0,55,All Levels
366,Deep Learning Python Keras,Data Weekends  Jose Portilla  Francesco Mosconi,Understand and build Deep Learning models for images  text  and more using Python and Keras,4.3,2704,10.0,148,Intermediate
367,Python Basics Object Oriented Programming,Infinite Skills,From Classes To Inheritance   OOP In Depth For Python Programmers,4.4,2687,5.0,55,Intermediate
368,Bash Shell Scripting Crash Course Beginners,Francesco Santi,Learn Bash Shell Scripting from total beginner Start from the Command Line finish with a real world Shell Script Project,4.5,2675,5.5,75,All Levels
369,MERN eCommerce Scratch,Brad Traversy,Build an eCommerce platform from the ground up with React  Redux  Express and MongoDB,4.8,2662,15.0,91,All Levels
370,AWS Lambda Serverless Architecture Bootcamp Build 5 Apps,Riyaz Sayyad   AWS Certified Database Specialist  RIZMAXed by Riyaz Sayyad,AWS Serverless with AWS Lambda  API Gateway  Amazon DynamoDB  Step Functions  SAM  the Serverless Framework  CICD and more,4.5,2661,25.5,301,All Levels
371,LEARNING PATH Complete Roadway Informatica Powercenter 9,Packt Publishing,Sharpen your data warehousing skills by mastering the techniques of Informatica PowerCenter,4.4,2659,5.0,69,Beginner
372,Selenium WebDriver Java beginners,Dmitry Shyshkin,Selenium WebDriver with Java and TestNG  Tutorial designed for complete beginners in Selenium testing and automation,4.5,2663,6.5,42,Beginner
373,Complete WordPress Theme Plugin Development Course 2020,Zac Gordon,Everything you need to become a hirable WordPress Developer building custom themes and plugins,4.5,2663,16.0,176,All Levels
374,Complete Modern CPlusPlus CPlusPlus11 14 17,Umar Lone,The most comprehensive CPlusPlus tutorial with CPlusPlus11 14 17 features,4.4,2655,18.5,219,All Levels
375,Introduction Data Structures Algorithms Java,Raghavendra Dixit,Designed to help understand the fundamentals of DS and Algorithms really well  A must have for programming interviews ,4.0,2622,5.0,103,All Levels
376,JSP Servlet JSLT Plus Hibernate complete guide,StudyEasy Organisation  Chaand Sheikh,A JSP  Java server pages  and Servlet Plus Hibernate  Quick course,4.2,2599,13.0,144,Intermediate
377,RESTful Web Services Java Spring Boot Spring MVC JPA,Sergey Kargopolov,Implement API calls  Sign up  sign in  email verification  password reset  update  delete  Deploy to Amazon AWS Cloud ,4.5,2603,23.0,270,Beginner
378,Apache Spark 2 0 Java Learn Spark Big Data Guru,Tao W   James Lee  Level Up,Learn analyzing large data sets with Apache Spark by 10Plus hands on examples  Take your big data skills to the next level ,4.4,2596,3.5,60,All Levels
379,Stack Java developer Java Plus JSP Plus Restful WS Plus Spring,StudyEasy Organisation  Chaand Sheikh,Full Stack Java developer   Core Java Plus JSP Servlets Plus Hibernate PlusSpring Plus Java Web service RestFul  API Plus Spring boot ,4.4,2600,64.5,611,All Levels
380,POSTMAN API Testing Step Step Beginners,Raghav Pal,learn POSTMAN Step by Step from scratch with real world examples,4.3,2575,2.5,25,All Levels
381,Data Structure Algorithms Analysis Job Interview,Hussein Alrubaye,Write code run faster  use less memory and prepare for Software Engineer Interview with real interview questions,4.1,2576,15.0,99,All Levels
382,Complete Python 3 Masterclass Journey,Jose Portilla,Master Python 3  Use story based learning to go from a beginner to being able to create real programs with Python ,4.6,2566,10.5,108,All Levels
383,Build 15 Augmented Reality AR apps Unity Vuforia,Dinesh Tavasalkar,Augmented reality  AR  tutorials on Markerless tracking  Cloud AR  3D Object detection  Plus more with Unity and Vuforia,4.5,2560,18.5,163,All Levels
384,Kotlin Beginners Learn Programming Kotlin,Peter Sommerhoff,Learn Kotlin from scratch  Grasp object orientation and idiomatic Kotlin to realize coding projects and Android apps ,4.4,2542,6.5,66,Beginner
385,Self Taught Programmer,Cory Althoff,The Definitive Guide to Programming Professionally,4.6,2541,6.0,79,Beginner
386,Learn Python Python Beginners,Abrar Hussain,Python introduction for beginners  Learn complete Python from scratch ,4.0,2528,1.5,27,Beginner
387,CHash Developers Double Coding Speed Visual Studio,Mosh Hamedani,Fast Coding Techniques that Every CHash Developer Must Know,4.5,2521,2.5,33,All Levels
388,Master Electron Desktop Apps HTML JavaScript CSS,Ray Viljoen,The Complete Electron course for learning to build Cross Platform Desktop Apps using HTML  JavaScript and CSS,4.7,2514,8.0,61,All Levels
389,NgRx NgRx Data Complete Guide FREE E Book,Angular University,Learn the modern NgRx Ecosystem  including NgRx Data  Store  Effects  Router Store  NgRx Entity  and DevTools,4.6,2517,6.5,52,All Levels
390,Django 3 Stack Websites Python Web Development,Nick Walter,Build 3 stunning websites  learn Back and Front End Web Development  deploy your site with HTML5  CSS3 and Bootstrap 4,4.7,2532,8.5,78,Beginner
391,Complete Java Developer Course,Hussein Alrubaye,Learn Java like a Professional  Start step by step from basic to build complete games and apps with Java8,3.7,2498,9.5,92,Beginner
392,Complete Sass SCSS Course Beginner Advanced,Joe Parys  Peter Sommerhoff  Joe Parys Support,No more cluttered CSS  Realize clean designs lightning fast and without frustration using Sass and SCSS ,4.4,2495,4.0,41,All Levels
393,Complete jQuery Course Beginner Advanced,Joe Parys  Peter Sommerhoff  Joe Parys Support,Use jQuery to create stunning animations  provide fast feedback forms  handle all user events and perform Ajax calls ,4.4,2496,6.0,51,All Levels
394,Learn Code Making 2D Platformer Unity,James Doyle,Game development made easy  Learn CHash using Unity and create your very own 2D Platformer,4.7,2491,13.0,84,Beginner
395,Kotlin Android Beginner Advanced,Devslopes by Mark Wahlbeck,Kotlin is an expressive  concise and powerful development language on Android  Learn everything you need to know to start,4.3,2488,23.0,101,Beginner
396,Modern Deep Learning Python,Lazy Programmer Inc ,Build with modern libraries like Tensorflow  Theano  Keras  PyTorch  CNTK  MXNet  Train faster with GPU on AWS ,4.6,2487,10.5,87,All Levels
397,Core Java Easy Covers latest Java 14,Bharath Thippireddy,Master java in quick and simple steps,4.5,2487,21.0,418,All Levels
398,Complete Android 10 Kotlin Development Masterclass,Denis Panjuta  Tutorials eu by Denis Panjuta,Learn Android 10 App Development From Beginner to Advanced Developer  Build Apps like Trello  7Min Workout  Weather App,4.5,2489,45.5,290,All Levels
399,Python Programming Bible Networking GUI Email XML CGI,Frahaan Hussain,Python 3 is one of the most popular programming languages  Companies like Facebook  Microsoft and Apple all want Python,3.4,2480,6.0,97,All Levels
400,Shader Development Scratch Unity Cg,Penny de Byl  Penny  Holistic3D com,Learn to program the graphics pipeline in Unity for creating unique visual surfaces for game objects ,4.7,2470,10.5,77,Intermediate
401,Neo4j GraphDB Foundations Cypher,Louis Sayers,Learn what a graph database is  gain the fundamental skills to use Neo4j on your next project ,4.6,2453,4.5,76,Beginner
402,Build Social Network Scratch JavaScript PHP Plus MySQL,Reece Kenney,Learn JavaScript  PHP and MySQL by building the ultimate social network website from scratch  The complete guide ,4.5,2444,16.5,179,All Levels
403,Stack Web Development,Eduonix Learning Solutions  Eduonix Tech    Samy Eduonix,Learn Full Stack Web Development Building Over 40Plus Projects,4.4,2430,33.0,208,Beginner
404,Deployment Machine Learning Models,Soledad Galli  Christopher Samiullah,Build Machine Learning Model APIs,4.5,2428,9.0,145,Intermediate
405,Complete ASP NET MVC Web Development Newbie Ninja,Brett Hargreaves,Quickly Learn Web Development with ASP NET MVC and CHash  From absolute basics to ninja  Learn CHash and MVC like a Pro,4.2,2404,15.5,92,All Levels
406,Rust Programming Language,Dmitri Nesteruk,Learn a modern  powerful yet safe systems programming language ,4.3,2390,8.5,61,All Levels
407,2 Certified Enterprise Architect Certification Training,Scott Duffy    460 000  Students  Software Architect ca,Software architecture certification with TOGAF 9  Part 2 exam  to become TOGAF Certified ,4.5,2386,2.5,31,All Levels
408,UML Object Oriented Design Foundations,Karoly Nyisztor   Professional Software Architect,Get started with Object Oriented Design and the Unified Modeling Language  UML   Use UML for effective communication ,4.3,2396,2.0,40,Beginner
409,Selenium WebDriver CHash Beginners Plus Live Testing Site,Tod Vachev,Selenium is the most popular tool to test websites  Join me and hundreds of students to learn Selenium Webdriver ,4.4,2365,5.0,57,All Levels
410,Docker Kubernetes Practical Guide,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,Learn Docker  Docker Compose  Multi Container Projects  Deployment and all about Kubernetes from the ground up ,4.7,2355,23.5,259,All Levels
411,React JS Angular Vue JS Quickstart Comparison,Maximilian Schwarzm ller  Academind by Maximilian Schwarzm ller,Angular  Angular 2Plus   React or Vue  Get a Crash Course on each of them and a detailed comparison ,4.6,2357,8.0,144,Beginner
412,Scrapy Powerful Web Scraping Crawling Python,GoTrained Academy  Lazar Telebak,Python Scrapy Tutorial   Learn how to scrape websites and build a powerful web crawler using Scrapy  Splash and Python,4.5,2354,11.0,86,All Levels
413,Docker Java Developers,John Thompson,Learn how you can use Docker to supercharge your enterprise Java Development ,4.2,2360,10.0,104,Intermediate
414,Docker Developers DevOps,Luke Angel,Use Docker to streamline your developer workflow and build out a awesome CI CD pipeline,3.4,2352,5.5,82,Beginner
415,Java Beginner Expert,Arkadiusz W odarczyk,This Java course was created especially for beginners in Java  Learn Java from scratch  Become Java Expert ,4.3,2349,11.0,84,All Levels
416,Selenium WebDriver Java Project Implement Plus Framework,T World,Selenium Webdriver Automation Testing  BDD  Cucumber framework  End to End integration with Jenkins  Katalon Studio,4.5,2341,41.0,368,All Levels
417,Modern Java Learn Java 8 features coding,Dilip S,Learn Lambdas  Streams   new Date APIs  Optionals and Parallel programming in Java 8 by coding it ,4.4,2345,11.0,104,All Levels
418,Java Stack Spring Boot React,in28Minutes Official,Build Your First Java Full Stack Application with React and Spring Boot  Become a Java Full Stack Java Web Developer Now ,4.5,2344,12.0,135,Beginner
419,Bootstrap 4 Bootcamp,Colt Steele,Learn to build beautiful responsive websites with the latest Bootstrap version  4 1 3    Flexbox  HTML5  and CSS3 ,4.7,2334,11.5,87,Beginner
420,Machine Learning Javascript,Stephen Grider,Master Machine Learning from scratch using Javascript and TensorflowJS with hands on projects ,4.6,2323,17.5,185,Beginner
